Number of Clusters,Silhouette Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,Config,test_set,selection_metric,budget,model,DBCV Score
7,0.2257828712463379,0.18474549912528382,24,5,,mnist_label,est,100,lenet5,0.14370812700422972
10,0.28522929549217224,0.28957412997611703,41,4,,mnist_label,est,150,lenet5,0.2939189644600618
12,0.389708936214447,0.3413100224797625,57,2,,mnist_label,est,200,lenet5,0.2929111087450779
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,rnd,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,rnd,100,lenet5,
0,-1.0,-1.0,3,3,,mnist_label,rnd,150,lenet5,-1.0
1,0.04420018196105957,0.040297042692298626,4,2,,mnist_label,rnd,200,lenet5,0.03639390342353768
9,0.11948930472135544,0.12033188371939824,26,7,,mnist_label,ent,50,lenet5,0.12117446271744103
9,0.3841647505760193,0.36523170109089326,39,4,,mnist_label,ent,100,lenet5,0.3462986516057672
11,0.4153650999069214,0.36947314980236545,53,9,,mnist_label,ent,150,lenet5,0.3235811996978096
15,0.41025257110595703,0.37982739909988317,70,9,,mnist_label,ent,200,lenet5,0.34940222709380925
7,0.15472818911075592,0.0679345096170971,26,8,,mnist_label,gini,50,lenet5,-0.018859169876561728
11,0.4499915838241577,,41,1,,mnist_label,gini,100,lenet5,
9,0.4697161912918091,,55,1,,mnist_label,gini,150,lenet5,
15,0.5052152872085571,0.4309678971337396,65,5,,mnist_label,gini,200,lenet5,0.3567205070589221
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,dat,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,dat,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,dat,150,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,dat,200,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,gd,50,lenet5,
0,-1.0,-1.0,3,3,,mnist_label,gd,100,lenet5,-1.0
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,gd,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,gd,200,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,kmnc,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,kmnc,100,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,kmnc,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,kmnc,200,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,nac,50,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,nac,100,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,nac,150,lenet5,
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,nac,200,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,lsa,50,lenet5,
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,lsa,100,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,lsa,150,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,lsa,200,lenet5,
8,0.20524342358112335,0.21043779350077527,30,5,,mnist_label,dsa,50,lenet5,0.21563216342042718
10,0.39850544929504395,0.32814076476708365,49,6,,mnist_label,dsa,100,lenet5,0.2577760802391234
11,0.4507753849029541,0.3905558745996789,62,9,,mnist_label,dsa,150,lenet5,0.3303363642964037
15,0.4400102198123932,0.38049167993273125,80,11,,mnist_label,dsa,200,lenet5,0.3209731400530693
-1,-1.0,-1.0,0,-1,-1.0,mnist_label,std,50,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,std,100,lenet5,
-1,-1.0,-1.0,2,-1,-1.0,mnist_label,std,150,lenet5,
0,-1.0,-1.0,3,3,,mnist_label,std,200,lenet5,-1.0
2,0.1380358636379242,0.29032526451590684,6,2,,mnist_label,pace,50,lenet5,0.4426146653938895
-1,-1.0,-1.0,1,-1,-1.0,mnist_label,pace,100,lenet5,
1,0.2055201530456543,0.1296001210790941,4,2,,mnist_label,pace,150,lenet5,0.0536800891125339
0,-1.0,-1.0,3,3,,mnist_label,pace,200,lenet5,-1.0
